Station,Location,Elevation,Date,Temp Max,Temp Avg,Temp Min,Precip Total
IVALTO2,"Valtournenche, IT",6722,3/11/23,35.7,29.6,24.2,0.01
IVALTO2,"Valtournenche, IT",6722,3/12/23,46.5,36,28.2,0.17
IVALTO2,"Valtournenche, IT",6722,3/13/23,57.9,38.1,30.5,0
IVALTO2,"Valtournenche, IT",6722,3/14/23,42.9,30.4,22.2,0.17
IVALTO2,"Valtournenche, IT",6722,3/15/23,46.9,27.3,19,0.06
IVALTO2,"Valtournenche, IT",6722,3/16/23,54.1,32,21.7,0
IVALTO2,"Valtournenche, IT",6722,3/17/23,52.5,31.8,23.1,0
IVALTO2,"Valtournenche, IT",6722,3/18/23,59.5,34.9,26.6,0
IVALTO2,"Valtournenche, IT",6722,3/19/23,40.4,31,27.1,0.07
IVALTO2,"Valtournenche, IT",6722,3/20/23,56.8,35.1,23.9,0.03
IVALTO2,"Valtournenche, IT",6722,3/21/23,60.4,40.4,30.9,0
IVALTO2,"Valtournenche, IT",6722,3/22/23,60,40.8,32.5,0
IVALTO2,"Valtournenche, IT",6722,3/23/23,59.1,40.6,33.9,0
IVALTO2,"Valtournenche, IT",6722,3/24/23,47.6,35.8,32,0.17
IVALTO2,"Valtournenche, IT",6722,3/25/23,37.5,30.2,25.8,0.06
IVALTO2,"Valtournenche, IT",6722,3/26/23,35,29.4,23.3,0.06
IVALTO2,"Valtournenche, IT",6722,3/27/23,30,23.9,17.7,0.06
IVALTO2,"Valtournenche, IT",6722,3/28/23,52.8,29.2,14,0.12
IVALTO2,"Valtournenche, IT",6722,3/29/23,44.4,37,28.4,0.12
IVALTO2,"Valtournenche, IT",6722,3/30/23,46.2,38.2,33.2,0.04
IVALTO2,"Valtournenche, IT",6722,3/31/23,37.9,31.8,25.7,0.03
IVALTO2,"Valtournenche, IT",6722,2/1/23,36.1,31.8,28.4,0
IVALTO2,"Valtournenche, IT",6722,2/2/23,42.9,32,24,0
IVALTO2,"Valtournenche, IT",6722,2/3/23,48.2,37.3,28.9,0
IVALTO2,"Valtournenche, IT",6722,2/4/23,43.3,39.4,33.4,0
IVALTO2,"Valtournenche, IT",6722,2/5/23,42,31.1,22.1,0
IVALTO2,"Valtournenche, IT",6722,2/6/23,40.8,22.6,14.7,0
IVALTO2,"Valtournenche, IT",6722,2/7/23,31.6,15.6,5.7,0.04
IVALTO2,"Valtournenche, IT",6722,2/8/23,32.5,14.7,8.2,0
IVALTO2,"Valtournenche, IT",6722,2/9/23,27.5,12.1,5.1,0
IVALTO2,"Valtournenche, IT",6722,2/10/23,44.4,27.2,15.4,0
IVALTO2,"Valtournenche, IT",6722,2/11/23,53,34,26.6,0
IVALTO2,"Valtournenche, IT",6722,2/12/23,53.2,37.4,31.1,0
IVALTO2,"Valtournenche, IT",6722,2/13/23,55.9,37,29.4,0
IVALTO2,"Valtournenche, IT",6722,2/14/23,58.1,39.7,33.6,0
IVALTO2,"Valtournenche, IT",6722,2/15/23,58.2,39.4,33.4,0
IVALTO2,"Valtournenche, IT",6722,2/16/23,51.4,37,32,0
IVALTO2,"Valtournenche, IT",6722,2/17/23,54.3,37.5,30.5,0
IVALTO2,"Valtournenche, IT",6722,2/18/23,58.2,41.4,34.8,0
IVALTO2,"Valtournenche, IT",6722,2/19/23,50.3,41.8,36.1,0
IVALTO2,"Valtournenche, IT",6722,2/20/23,61.1,43.7,35.9,0
IVALTO2,"Valtournenche, IT",6722,2/21/23,58.6,42.5,36.8,0
IVALTO2,"Valtournenche, IT",6722,2/22/23,38.8,33.1,28.7,0
IVALTO2,"Valtournenche, IT",6722,2/23/23,36.8,31,26.7,2.67
IVALTO2,"Valtournenche, IT",6722,2/24/23,39.5,30.7,26.2,0.03
IVALTO2,"Valtournenche, IT",6722,2/25/23,52.1,32.4,25.7,0.01
IVALTO2,"Valtournenche, IT",6722,2/26/23,32,21.2,12.7,0
IVALTO2,"Valtournenche, IT",6722,2/27/23,29.4,18.1,12.7,0.01
IVALTO2,"Valtournenche, IT",6722,2/28/23,36.3,20.6,14.7,0.01
IVALTO2,"Valtournenche, IT",6722,1/1/23,51.6,34,27.1,0
IVALTO2,"Valtournenche, IT",6722,1/2/23,39.9,29.5,26,0
IVALTO2,"Valtournenche, IT",6722,1/3/23,39.9,32,28.5,0
IVALTO2,"Valtournenche, IT",6722,1/4/23,42,33.1,27.5,0
IVALTO2,"Valtournenche, IT",6722,1/5/23,44.7,38,33.8,0
IVALTO2,"Valtournenche, IT",6722,1/6/23,49.1,37.9,32.5,0
IVALTO2,"Valtournenche, IT",6722,1/7/23,47.4,31.1,22.2,0
IVALTO2,"Valtournenche, IT",6722,1/8/23,31.6,26,22.6,0
IVALTO2,"Valtournenche, IT",6722,1/28/23,33.4,22.4,17.6,0.01
IVALTO2,"Valtournenche, IT",6722,1/29/23,44.2,24.9,16.7,0
IVALTO2,"Valtournenche, IT",6722,1/30/23,46.4,33.5,24.4,0.01
IVALTO2,"Valtournenche, IT",6722,1/31/23,49.6,34,26.6,0
IVALTO2,"Valtournenche, IT",6722,12/31/22,37.4,34.8,31.6,0
IVALTO2,"Valtournenche, IT",6722,10/8/22,46,43.7,42.6,0.06
IVALTO2,"Valtournenche, IT",6722,10/9/22,42.9,41.5,40.4,0.11
IVALTO2,"Valtournenche, IT",6722,10/29/22,62.9,54.5,49.1,0
IVALTO2,"Valtournenche, IT",6722,10/30/22,59.9,51.2,46.7,0
IVALTO2,"Valtournenche, IT",6722,7/2/22,68.9,60.8,53.9,0
IVALTO2,"Valtournenche, IT",6722,7/3/22,72.5,60.7,52.1,0.17
IVALTO2,"Valtournenche, IT",6722,7/4/22,64.4,56.8,48.3,0.11
IVALTO2,"Valtournenche, IT",6722,7/5/22,73.5,58.3,48.9,0
IVALTO2,"Valtournenche, IT",6722,7/6/22,69.2,56.5,48.7,0
IVALTO2,"Valtournenche, IT",6722,7/7/22,68.7,56.7,48.3,0
IVALTO2,"Valtournenche, IT",6722,7/8/22,80,57.2,44.6,0
IVALTO2,"Valtournenche, IT",6722,7/9/22,67.6,57.1,49.1,0
IVALTO2,"Valtournenche, IT",6722,7/10/22,74.1,57.5,47.4,0
IVALTO2,"Valtournenche, IT",6722,7/11/22,69.2,57.3,49.8,0
IVALTO2,"Valtournenche, IT",6722,7/12/22,71.6,57.5,49.4,0
IVALTO2,"Valtournenche, IT",6722,7/13/22,72.3,59.3,50.9,0
IVALTO2,"Valtournenche, IT",6722,7/14/22,74.1,62.9,55,0
IVALTO2,"Valtournenche, IT",6722,7/15/22,83.6,64.2,55,0
IVALTO2,"Valtournenche, IT",6722,7/16/22,79.7,63.6,54.5,0
IVALTO2,"Valtournenche, IT",6722,7/17/22,73.4,62.5,55.2,0
IVALTO2,"Valtournenche, IT",6722,5/1/22,57.9,38.7,29.4,0
IVALTO2,"Valtournenche, IT",6722,5/2/22,54.3,38.4,30.5,0.03
IVALTO2,"Valtournenche, IT",6722,5/3/22,45.5,36.3,32.5,0.26
IVALTO2,"Valtournenche, IT",6722,5/4/22,54.8,38.5,32.3,0.06
IVALTO2,"Valtournenche, IT",6722,5/5/22,43.3,35.6,31.6,0.62
IVALTO2,"Valtournenche, IT",6722,5/6/22,50.5,37.7,32.3,0.01
IVALTO2,"Valtournenche, IT",6722,5/7/22,53,40.6,36.1,0.04
IVALTO2,"Valtournenche, IT",6722,5/8/22,49.4,40.7,35.7,0.07
IVALTO2,N/A,N/A,4/6/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/7/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/8/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/9/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/10/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/11/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/12/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/13/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/14/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/15/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/16/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/17/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/18/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/19/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/20/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/21/22,N/A,N/A,N/A,N/A
IVALTO2,N/A,N/A,4/22/22,N/A,N/A,N/A,N/A
IVALTO2,"Valtournenche, IT",6722,4/23/22,52.1,33.4,30.7,0.34
IVALTO2,"Valtournenche, IT",6722,4/24/22,46.2,31.5,25.1,0.23
IVALTO2,"Valtournenche, IT",6722,4/25/22,60.6,39.2,31.6,0.03
IVALTO2,"Valtournenche, IT",6722,4/26/22,49.6,36.4,29.6,0
IVALTO2,"Valtournenche, IT",6722,4/27/22,62,40.3,29.4,0
IVALTO2,"Valtournenche, IT",6722,4/28/22,64.7,42.6,31.8,0
IVALTO2,"Valtournenche, IT",6722,4/29/22,60.4,43,33,0
IVALTO2,"Valtournenche, IT",6722,4/30/22,45.1,36.6,31.4,0.11
IVALTO2,"Valtournenche, IT",6722,2/1/22,35.4,26.6,17.4,0
IVALTO2,"Valtournenche, IT",6722,2/2/22,38.4,30,26.2,0.01
IVALTO2,"Valtournenche, IT",6722,2/3/22,56.4,40.2,29.1,0.06
IVALTO2,"Valtournenche, IT",6722,2/4/22,52.8,34.3,27.6,0
IVALTO2,"Valtournenche, IT",6722,2/5/22,48.5,30.3,24,0
IVALTO2,"Valtournenche, IT",6722,2/6/22,44.6,30.2,24.9,0
IVALTO2,"Valtournenche, IT",6722,2/7/22,37,28.9,21.5,0.17
IVALTO2,"Valtournenche, IT",6722,2/8/22,52.5,37.5,29.6,0
IVALTO2,"Valtournenche, IT",6722,2/9/22,62.7,43.4,37,0
IVALTO2,"Valtournenche, IT",6722,2/10/22,56.4,38.2,28.7,0
IVALTO2,"Valtournenche, IT",6722,2/11/22,35.7,28.7,20.4,0
IVALTO2,"Valtournenche, IT",6722,2/12/22,38.6,21.8,15,0
IVALTO2,"Valtournenche, IT",6722,2/13/22,37.2,19.6,12.9,0
IVALTO2,"Valtournenche, IT",6722,2/14/22,25.8,18.2,13.2,0
IVALTO2,"Valtournenche, IT",6722,2/15/22,35.9,24.9,19,0
IVALTO2,"Valtournenche, IT",6722,2/16/22,46.4,30.6,19.9,0.04
IVALTO2,"Valtournenche, IT",6722,2/17/22,46.2,39.8,33,2.67
IVALTO2,"Valtournenche, IT",6722,2/18/22,60,43,34.8,0
IVALTO2,"Valtournenche, IT",6722,2/19/22,40.4,32.4,25.5,0
IVALTO2,"Valtournenche, IT",6722,2/20/22,31.2,27.2,24.9,0
IVALTO2,"Valtournenche, IT",6722,1/3/22,36.6,35.3,33.2,0
IVALTO2,"Valtournenche, IT",6722,1/4/22,48,37,31.1,0
IVALTO2,"Valtournenche, IT",6722,1/5/22,36.6,23.7,14,0.01
IVALTO2,"Valtournenche, IT",6722,1/6/22,34.7,19.8,14.1,0
IVALTO2,"Valtournenche, IT",6722,1/7/22,33.4,18.5,12.3,0
IVALTO2,"Valtournenche, IT",6722,1/8/22,30.7,20.7,15,0.04
IVALTO2,"Valtournenche, IT",6722,1/9/22,21.2,17.5,15.4,0
IVALTO2,"Valtournenche, IT",6722,1/10/22,27.1,18.3,14.5,0
IVALTO2,"Valtournenche, IT",6722,1/11/22,43.1,24.7,16.7,0.03
IVALTO2,"Valtournenche, IT",6722,1/12/22,43.7,30.8,22.8,0
IVALTO2,"Valtournenche, IT",6722,1/13/22,50.1,34.2,28.2,0
IVALTO2,"Valtournenche, IT",6722,1/14/22,53.6,37.9,30.9,0
IVALTO2,"Valtournenche, IT",6722,1/15/22,54.6,38.2,32.7,0
IVALTO2,"Valtournenche, IT",6722,1/16/22,39.5,32.6,25.8,0
IVALTO2,"Valtournenche, IT",6722,1/17/22,45.8,33.9,24.9,0
IVALTO2,"Valtournenche, IT",6722,1/18/22,50.1,33.6,24.9,0
